Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/8/2016 17:30,25,16.5,9.9,50
1/8/2016 18:00,25,16.4,10,50
1/8/2016 18:30,25,16.2,9.9,51.4
1/8/2016 19:00,24.5,8.8,15.2,71.7
1/8/2016 19:30,25,14.6,9.9,51.4
1/8/2016 20:00,25,14.7,10,88.4
1/8/2016 20:30,25,14.5,9.9,86.6
1/8/2016 21:00,25,14.6,10,88.4
1/8/2016 21:30,25,12.8,9.9,86.6
1/8/2016 22:00,23.5,9,15.2,88.4
1/8/2016 22:30,24,7.6,9.9,88
1/8/2016 23:00,23,3.6,10,50
1/8/2016 23:30,22,7.4,9.9,50
1/9/2016 0:00,22,5.4,10,50
1/9/2016 0:30,22,1.9,5.1,50
1/9/2016 1:00,21.6,3.7,12.9,71
1/9/2016 1:30,22,3.7,6.1,50
1/9/2016 2:00,21.1,5.4,6,50
1/9/2016 2:30,21.1,7.4,7,50
1/9/2016 3:00,21.1,5.4,7,88.4
1/9/2016 3:30,22,3.7,8,88
1/9/2016 4:00,21.3,1.9,14.3,71.7
1/9/2016 4:30,24,5.4,8,88
1/9/2016 5:00,22,5.4,6,50.6
1/9/2016 5:30,21,3.7,6.1,51.4
1/9/2016 6:00,21.1,5.3,4.1,50.6
1/9/2016 6:30,21.1,2,5,51.4
1/9/2016 7:00,20.5,2.1,13.3,71.7
1/9/2016 7:30,22,3.7,5.9,51.4
1/9/2016 8:00,23,3.6,6,89.1
1/9/2016 8:30,23.9,3.7,6,88
1/9/2016 9:00,24,3.7,6,89.1
1/9/2016 9:30,24.9,5.5,6.9,88
1/9/2016 10:00,25,11.7,15.2,89.1
1/9/2016 10:30,25.9,14.5,9.9,88
1/9/2016 11:00,27,16.4,9.9,89.1
1/9/2016 11:30,26.9,23.7,9.9,88
1/9/2016 12:00,28,23.9,9.9,89.1
1/9/2016 12:30,27.8,23.8,9.8,88
1/9/2016 13:00,26.7,11.6,15.2,89.9
1/9/2016 13:30,26.8,25.4,9.9,88
1/9/2016 14:00,27,18.1,9.9,2.7
1/9/2016 14:30,26.8,11,9.9,88
1/9/2016 15:00,27,16.4,9.9,2.7
1/9/2016 15:30,25.9,27,9.9,88
1/9/2016 16:00,25.5,10.7,15.2,89.9
1/9/2016 16:30,25.9,20.1,9.9,88
1/9/2016 17:00,25,18.2,9.8,2.7
1/9/2016 17:30,24.9,14.4,9.8,88
1/9/2016 18:00,25,14.6,9.8,2.7
1/9/2016 18:30,24.9,14.5,9.8,51.4
1/9/2016 19:00,24.4,9.5,15.2,71.7
