,date,time,value,date time
391,2018-01-17,8,700,2018-01-17 8
392,2018-01-17,9,890.3,2018-01-17 9
393,2018-01-17,10,890.3,2018-01-17 10
394,2018-01-17,11,811,2018-01-17 11
395,2018-01-17,12,700,2018-01-17 12
396,2018-01-17,13,700,2018-01-17 13
397,2018-01-17,14,750,2018-01-17 14
398,2018-01-17,15,890.3,2018-01-17 15
399,2018-01-17,16,921.7,2018-01-17 16
400,2018-01-17,17,923.5,2018-01-17 17
401,2018-01-17,18,921.7,2018-01-17 18
402,2018-01-17,19,921.7,2018-01-17 19
403,2018-01-17,20,811,2018-01-17 20
404,2018-01-17,21,890.4,2018-01-17 21
405,2018-01-17,22,921.7,2018-01-17 22
406,2018-01-17,23,926,2018-01-17 23
407,2018-01-17,24,890.4,2018-01-17 24
408,2018-01-18,1,880,2018-01-18 1
409,2018-01-18,2,890.4,2018-01-18 2
410,2018-01-18,3,890.4,2018-01-18 3
411,2018-01-18,4,890.4,2018-01-18 4
412,2018-01-18,5,800,2018-01-18 5
413,2018-01-18,6,890.4,2018-01-18 6
414,2018-01-18,7,890.4,2018-01-18 7
415,2018-01-18,8,800,2018-01-18 8
416,2018-01-18,9,926,2018-01-18 9
417,2018-01-18,10,921.7,2018-01-18 10
418,2018-01-18,11,926,2018-01-18 11
419,2018-01-18,12,890.3,2018-01-18 12
420,2018-01-18,13,890.3,2018-01-18 13
421,2018-01-18,14,921.7,2018-01-18 14
422,2018-01-18,15,926,2018-01-18 15
423,2018-01-18,16,929.7,2018-01-18 16
424,2018-01-18,17,923.9,2018-01-18 17
425,2018-01-18,18,926,2018-01-18 18
426,2018-01-18,19,926,2018-01-18 19
427,2018-01-18,20,921.7,2018-01-18 20
428,2018-01-18,21,929.8,2018-01-18 21
429,2018-01-18,22,    1 005.4,2018-01-18 22
430,2018-01-18,23,970.3,2018-01-18 23
431,2018-01-18,24,890.4,2018-01-18 24
432,2018-01-19,1,890.4,2018-01-19 1
433,2018-01-19,2,890.4,2018-01-19 2
434,2018-01-19,3,849.4,2018-01-19 3
435,2018-01-19,4,890.4,2018-01-19 4
436,2018-01-19,5,885.3,2018-01-19 5
437,2018-01-19,6,890.4,2018-01-19 6
438,2018-01-19,7,926,2018-01-19 7
439,2018-01-19,8,    1 007,2018-01-19 8
440,2018-01-19,9,    1 280,2018-01-19 9
441,2018-01-19,10,    1 005.4,2018-01-19 10
442,2018-01-19,11,929.2,2018-01-19 11
443,2018-01-19,12,    1 005.4,2018-01-19 12
444,2018-01-19,13,929.8,2018-01-19 13
445,2018-01-19,14,929.2,2018-01-19 14
446,2018-01-19,15,    1 061.8,2018-01-19 15
447,2018-01-19,16,    1 007,2018-01-19 16
448,2018-01-19,17,970.3,2018-01-19 17
449,2018-01-19,18,    1 005.4,2018-01-19 18
450,2018-01-19,19,    1 061.8,2018-01-19 19
451,2018-01-19,20,929.2,2018-01-19 20
452,2018-01-19,21,929,2018-01-19 21
453,2018-01-19,22,    1 171,2018-01-19 22
454,2018-01-19,23,    1 061.8,2018-01-19 23
455,2018-01-19,24,957.4,2018-01-19 24
456,2018-01-20,1,933.8,2018-01-20 1
457,2018-01-20,2,957.4,2018-01-20 2
458,2018-01-20,3,957.4,2018-01-20 3
