,Time,day,SMP,month,year,Date
561,34,12,900.0,9,2021,2021-09-12
562,35,12,915.0,9,2021,2021-09-12
563,36,12,962.0,9,2021,2021-09-12
564,37,12,1170.0,9,2021,2021-09-12
565,38,12,1266.0,9,2021,2021-09-12
566,39,12,1266.0,9,2021,2021-09-12
567,40,12,1024.2,9,2021,2021-09-12
568,41,12,962.0,9,2021,2021-09-12
569,42,12,961.0,9,2021,2021-09-12
570,43,12,962.0,9,2021,2021-09-12
571,44,12,962.0,9,2021,2021-09-12
572,45,12,962.0,9,2021,2021-09-12
573,46,12,962.0,9,2021,2021-09-12
574,47,12,962.0,9,2021,2021-09-12
575,48,12,915.0,9,2021,2021-09-12
576,1,13,844.0,9,2021,2021-09-13
577,2,13,854.0,9,2021,2021-09-13
578,3,13,820.0,9,2021,2021-09-13
579,4,13,800.0,9,2021,2021-09-13
580,5,13,800.0,9,2021,2021-09-13
581,6,13,800.0,9,2021,2021-09-13
582,7,13,800.0,9,2021,2021-09-13
583,8,13,750.0,9,2021,2021-09-13
584,9,13,800.0,9,2021,2021-09-13
585,10,13,800.0,9,2021,2021-09-13
586,11,13,800.0,9,2021,2021-09-13
587,12,13,844.0,9,2021,2021-09-13
588,13,13,886.3,9,2021,2021-09-13
589,14,13,800.0,9,2021,2021-09-13
590,15,13,844.0,9,2021,2021-09-13
591,16,13,886.3,9,2021,2021-09-13
592,17,13,848.0,9,2021,2021-09-13
593,18,13,800.0,9,2021,2021-09-13
594,19,13,1.0,9,2021,2021-09-13
595,20,13,1.0,9,2021,2021-09-13
596,21,13,500.0,9,2021,2021-09-13
597,22,13,500.0,9,2021,2021-09-13
598,23,13,1.0,9,2021,2021-09-13
599,24,13,1.0,9,2021,2021-09-13
600,25,13,1.0,9,2021,2021-09-13
601,26,13,1.0,9,2021,2021-09-13
602,27,13,300.0,9,2021,2021-09-13
603,28,13,200.0,9,2021,2021-09-13
604,29,13,1.0,9,2021,2021-09-13
605,30,13,395.0,9,2021,2021-09-13
606,31,13,700.0,9,2021,2021-09-13
607,32,13,800.0,9,2021,2021-09-13
608,33,13,850.0,9,2021,2021-09-13
609,34,13,915.0,9,2021,2021-09-13
610,35,13,958.0,9,2021,2021-09-13
