Time,Day,SMP,Month,Year
25,18,469.0,9,2020
26,18,550.0,9,2020
27,18,825.0,9,2020
28,18,837.0,9,2020
29,18,850.0,9,2020
30,18,860.0,9,2020
31,18,900.0,9,2020
32,18,903.2,9,2020
33,18,900.0,9,2020
34,18,874.0,9,2020
35,18,874.0,9,2020
36,18,960.0,9,2020
37,18,1010.0,9,2020
38,18,992.0,9,2020
39,18,900.0,9,2020
40,18,838.0,9,2020
41,18,837.0,9,2020
42,18,832.0,9,2020
43,18,800.0,9,2020
44,18,611.0,9,2020
45,18,611.0,9,2020
46,18,750.0,9,2020
47,18,600.0,9,2020
48,18,469.2,9,2020
1,19,500.0,9,2020
2,19,500.0,9,2020
3,19,500.0,9,2020
4,19,500.0,9,2020
5,19,500.0,9,2020
6,19,500.0,9,2020
7,19,500.0,9,2020
8,19,500.0,9,2020
9,19,500.0,9,2020
10,19,510.0,9,2020
11,19,510.1,9,2020
12,19,590.1,9,2020
13,19,623.3,9,2020
14,19,640.0,9,2020
15,19,590.2,9,2020
16,19,600.0,9,2020
17,19,700.0,9,2020
18,19,837.0,9,2020
19,19,837.0,9,2020
20,19,837.0,9,2020
21,19,874.0,9,2020
22,19,950.0,9,2020
23,19,874.0,9,2020
24,19,760.0,9,2020
25,19,550.0,9,2020
26,19,510.1,9,2020
27,19,686.4,9,2020
28,19,786.0,9,2020
29,19,800.0,9,2020
30,19,750.0,9,2020
31,19,800.0,9,2020
32,19,800.0,9,2020
33,19,816.0,9,2020
34,19,800.0,9,2020
35,19,837.0,9,2020
36,19,874.0,9,2020
37,19,874.0,9,2020
38,19,815.0,9,2020
39,19,600.2,9,2020
40,19,600.3,9,2020
41,19,680.0,9,2020
42,19,686.5,9,2020
43,19,623.3,9,2020
44,19,590.2,9,2020
45,19,590.1,9,2020
46,19,525.0,9,2020
47,19,590.1,9,2020
48,19,520.2,9,2020
1,20,623.3,9,2020
2,20,600.0,9,2020
3,20,580.0,9,2020
4,20,570.0,9,2020
5,20,500.0,9,2020
6,20,500.0,9,2020
7,20,500.0,9,2020
8,20,500.0,9,2020
9,20,500.0,9,2020
10,20,500.0,9,2020
11,20,500.0,9,2020
12,20,500.0,9,2020
13,20,455.1,9,2020
14,20,455.1,9,2020
15,20,350.0,9,2020
16,20,1.0,9,2020
17,20,1.0,9,2020
18,20,1.0,9,2020
19,20,1.0,9,2020
